,Movie,Link
0,The Shawshank Redemption,/title/tt0111161/
1,The Godfather,/title/tt0068646/
2,The Godfather: Part II,/title/tt0071562/
3,The Dark Knight,/title/tt0468569/
4,12 Angry Men,/title/tt0050083/
5,Schindler's List,/title/tt0108052/
6,The Lord of the Rings: The Return of the King,/title/tt0167260/
7,Pulp Fiction,/title/tt0110912/
8,"The Good, the Bad and the Ugly",/title/tt0060196/
9,The Lord of the Rings: The Fellowship of the Ring,/title/tt0120737/
10,Fight Club,/title/tt0137523/
11,Forrest Gump,/title/tt0109830/
12,Inception,/title/tt1375666/
13,The Lord of the Rings: The Two Towers,/title/tt0167261/
14,Star Wars: Episode V - The Empire Strikes Back,/title/tt0080684/
15,Spider-Man: No Way Home,/title/tt10872600/
16,The Matrix,/title/tt0133093/
17,Goodfellas,/title/tt0099685/
18,One Flew Over the Cuckoo's Nest,/title/tt0073486/
19,Seven Samurai,/title/tt0047478/
20,Se7en,/title/tt0114369/
21,The Silence of the Lambs,/title/tt0102926/
22,It's a Wonderful Life,/title/tt0038650/
23,City of God,/title/tt0317248/
24,Life Is Beautiful,/title/tt0118799/
25,Saving Private Ryan,/title/tt0120815/
26,Star Wars: Episode IV - A New Hope,/title/tt0076759/
27,Interstellar,/title/tt0816692/
28,Spirited Away,/title/tt0245429/
29,The Green Mile,/title/tt0120689/
30,Parasite,/title/tt6751668/
31,Léon: The Professional,/title/tt0110413/
32,Hara-Kiri,/title/tt0056058/
33,The Pianist,/title/tt0253474/
34,Terminator 2: Judgment Day,/title/tt0103064/
35,Back to the Future,/title/tt0088763/
36,The Usual Suspects,/title/tt0114814/
37,Psycho,/title/tt0054215/
38,The Lion King,/title/tt0110357/
39,Modern Times,/title/tt0027977/
40,Grave of the Fireflies,/title/tt0095327/
41,American History X,/title/tt0120586/
42,Whiplash,/title/tt2582802/
43,Gladiator,/title/tt0172495/
44,City Lights,/title/tt0021749/
45,The Departed,/title/tt0407887/
46,The Intouchables,/title/tt1675434/
47,The Prestige,/title/tt0482571/
48,Casablanca,/title/tt0034583/
49,Once Upon a Time in the West,/title/tt0064116/
50,Rear Window,/title/tt0047396/
51,Cinema Paradiso,/title/tt0095765/
52,Alien,/title/tt0078748/
53,Apocalypse Now,/title/tt0078788/
54,Memento,/title/tt0209144/
55,Indiana Jones and the Raiders of the Lost Ark,/title/tt0082971/
56,The Great Dictator,/title/tt0032553/
57,Django Unchained,/title/tt1853728/
58,The Lives of Others,/title/tt0405094/
59,Paths of Glory,/title/tt0050825/
60,Sunset Blvd.,/title/tt0043014/
61,WALL·E,/title/tt0910970/
62,Avengers: Infinity War,/title/tt4154756/
63,Witness for the Prosecution,/title/tt0051201/
64,The Shining,/title/tt0081505/
65,Spider-Man: Into the Spider-Verse,/title/tt4633694/
66,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,/title/tt0057012/
67,Princess Mononoke,/title/tt0119698/
68,Oldboy,/title/tt0364569/
69,Joker,/title/tt7286456/
70,Your Name.,/title/tt5311514/
71,Coco,/title/tt2380307/
72,The Dark Knight Rises,/title/tt1345836/
73,Aliens,/title/tt0090605/
74,Once Upon a Time in America,/title/tt0087843/
75,Avengers: Endgame,/title/tt4154796/
76,Capernaum,/title/tt8267604/
77,Das Boot,/title/tt0082096/
78,High and Low,/title/tt0057565/
79,3 Idiots,/title/tt1187043/
80,Toy Story,/title/tt0114709/
81,Amadeus,/title/tt0086879/
82,American Beauty,/title/tt0169547/
83,Braveheart,/title/tt0112573/
84,Inglourious Basterds,/title/tt0361748/
85,Hamilton,/title/tt8503618/
86,Good Will Hunting,/title/tt0119217/
87,Star Wars: Episode VI - Return of the Jedi,/title/tt0086190/
88,2001: A Space Odyssey,/title/tt0062622/
89,Come and See,/title/tt0091251/
90,Reservoir Dogs,/title/tt0105236/
91,Like Stars on Earth,/title/tt0986264/
92,Vertigo,/title/tt0052357/
93,M,/title/tt0022100/
94,Citizen Kane,/title/tt0033467/
95,The Hunt,/title/tt2106476/
96,Requiem for a Dream,/title/tt0180093/
97,Singin' in the Rain,/title/tt0045152/
98,North by Northwest,/title/tt0053125/
99,Eternal Sunshine of the Spotless Mind,/title/tt0338013/
100,Ikiru,/title/tt0044741/
101,Bicycle Thieves,/title/tt0040522/
102,Lawrence of Arabia,/title/tt0056172/
103,The Kid,/title/tt0012349/
104,Full Metal Jacket,/title/tt0093058/
105,Dangal,/title/tt5074352/
106,Incendies,/title/tt1255953/
107,The Apartment,/title/tt0053604/
108,Double Indemnity,/title/tt0036775/
109,The Father,/title/tt10272386/
110,Metropolis,/title/tt0017136/
111,Taxi Driver,/title/tt0075314/
112,A Clockwork Orange,/title/tt0066921/
113,A Separation,/title/tt1832382/
114,The Sting,/title/tt0070735/
115,Scarface,/title/tt0086250/
116,Snatch,/title/tt0208092/
117,Amélie,/title/tt0211915/
118,1917,/title/tt8579674/
119,Pather Panchali,/title/tt0048473/
120,To Kill a Mockingbird,/title/tt0056592/
121,Toy Story 3,/title/tt0435761/
122,For a Few Dollars More,/title/tt0059578/
123,Up,/title/tt1049413/
124,Indiana Jones and the Last Crusade,/title/tt0097576/
125,Heat,/title/tt0113277/
126,L.A. Confidential,/title/tt0119488/
127,Yojimbo,/title/tt0055630/
128,Die Hard,/title/tt0095016/
129,Ran,/title/tt0089881/
130,Green Book,/title/tt6966692/
131,Rashomon,/title/tt0042876/
132,Downfall,/title/tt0363163/
133,Monty Python and the Holy Grail,/title/tt0071853/
134,All About Eve,/title/tt0042192/
135,Some Like It Hot,/title/tt0053291/
136,Batman Begins,/title/tt0372784/
137,Unforgiven,/title/tt0105695/
138,Children of Heaven,/title/tt0118849/
139,Jai Bhim,/title/tt15097216/
